GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04
0500000US48323,48323,"Maverick County, Texas",17723,888,21889,1235,12814,1405
0500000US48325,48325,"Medina County, Texas",26299,1277,32407,2471,20361,1385
0500000US48327,48327,"Menard County, Texas",17118,4087,23882,6803,14054,2410
0500000US48329,48329,"Midland County, Texas",32262,761,45099,2360,23311,1144
0500000US48331,48331,"Milam County, Texas",23474,2323,28365,2841,17069,1366
0500000US48333,48333,"Mills County, Texas",30499,2210,34023,4911,21949,2122
0500000US48335,48335,"Mitchell County, Texas",28528,4589,30636,3335,25455,4896
0500000US48337,48337,"Montague County, Texas",26555,1687,39208,4372,17839,2321
0500000US48339,48339,"Montgomery County, Texas",36188,907,45101,1411,27252,1013
0500000US48341,48341,"Moore County, Texas",26090,811,30921,2649,20449,1532
0500000US48343,48343,"Morris County, Texas",25972,2098,36978,4217,16801,3432
0500000US48345,48345,"Motley County, Texas",23036,4918,23857,4628,18068,10564
0500000US48347,48347,"Nacogdoches County, Texas",20787,881,25273,1601,16497,1349
0500000US48349,48349,"Navarro County, Texas",23097,1385,26962,1948,19320,1814
0500000US48351,48351,"Newton County, Texas",21909,3937,30750,6299,16115,3198
0500000US48353,48353,"Nolan County, Texas",21122,1200,25673,4250,17557,2273
0500000US48355,48355,"Nueces County, Texas",25898,505,32578,1277,20209,543
0500000US48357,48357,"Ochiltree County, Texas",27438,3990,41540,4120,17016,2807
0500000US48359,48359,"Oldham County, Texas",26658,6030,28750,6724,22222,5903
0500000US48361,48361,"Orange County, Texas",30112,1273,39871,1813,21526,999
0500000US48363,48363,"Palo Pinto County, Texas",26433,1731,36531,3866,18344,1646
0500000US48365,48365,"Panola County, Texas",33005,2876,43275,2052,19683,2013
0500000US48367,48367,"Parker County, Texas",35120,1693,45798,3150,25496,1596
0500000US48369,48369,"Parmer County, Texas",24324,1494,28382,3401,18008,1792
0500000US48371,48371,"Pecos County, Texas",28511,2702,42156,3539,19402,4029
0500000US48373,48373,"Polk County, Texas",24640,1583,29273,2945,20252,1399
0500000US48375,48375,"Potter County, Texas",23720,854,26894,798,20171,819
0500000US48377,48377,"Presidio County, Texas",19818,4963,29070,11406,14081,2137
0500000US48379,48379,"Rains County, Texas",24961,2898,30915,3869,19079,2975
0500000US48381,48381,"Randall County, Texas",32309,765,40666,1214,26375,1002
0500000US48383,48383,"Reagan County, Texas",37917,9451,44211,5229,21477,6468
0500000US48385,48385,"Real County, Texas",17234,2011,19174,6272,15496,2337
0500000US48387,48387,"Red River County, Texas",26222,1871,30438,1841,17785,2227
0500000US48389,48389,"Reeves County, Texas",19787,2572,20368,7797,19575,2629
0500000US48391,48391,"Refugio County, Texas",22035,3187,31706,2920,14806,2028
0500000US48393,48393,"Roberts County, Texas",32500,5545,43839,4711,24120,2541
